seller_id,total_orders,total_items,total_revenue,total_freight,avg_review_score,review_count,five_star_count,one_star_count,avg_delivery_days,delay_count,first_order_date,last_order_date,total_gmv,five_star_rate,one_star_rate,delay_rate,seller_city,seller_state
0015a82c2db000af6aaaf3ae2ecb0532,3,3,2685.0,63.06,3.6666666666666665,3,2,1,10.333333333333334,0.0,2017-09-26 22:17:05,2017-10-18 08:16:34,2748.06,66.67,33.33,0.0,santo andre,SP
001cca7ae9ae17fb1caed9dfb1094831,200,239,25080.03,8854.14,3.984771573604061,197,104,24,12.938461538461539,13.0,2017-02-04 19:06:04,2018-07-12 21:38:26,33934.17,52.79,12.18,6.5,cariacica,ES
001e6ad469a905060d959994f1b41e4f,1,1,250.0,17.94,1.0,1,0,1,,0.0,,,267.94,0.0,100.0,0.0,sao goncalo,RJ
002100f778ceb8431b7a1020ff7ab48f,51,55,1234.5,793.66,3.9019607843137254,51,27,7,15.96,9.0,2017-09-14 01:00:31,2018-04-12 12:58:23,2028.1599999999999,52.94,13.73,17.65,franca,SP
003554e2dce176b5555353e4f3555ac8,1,1,120.0,19.38,5.0,1,1,0,4.0,0.0,2017-12-15 06:52:25,2017-12-15 06:52:25,139.38,100.0,0.0,0.0,goiania,GO
004c9cd9d87a3c30c522c48c4fc07416,158,170,19712.71,3551.23,4.141935483870967,155,92,13,14.341935483870968,13.0,2017-01-27 10:34:34,2018-05-03 11:13:38,23263.94,59.35,8.39,8.23,ibitinga,SP
00720abe85ba0859807595bbf045a33b,13,26,1007.5,315.98,3.6153846153846154,13,6,3,11.384615384615385,2.0,2018-01-27 13:46:31,2018-08-03 16:57:01,1323.48,46.15,23.08,15.38,guarulhos,SP
00ab3eff1b5192e5f1a63bcecfee11c8,1,1,98.0,12.08,5.0,1,1,0,9.0,0.0,2017-03-18 11:40:26,2017-03-18 11:40:26,110.08,100.0,0.0,0.0,sao paulo,SP
00d8b143d12632bad99c0ad66ad52825,1,1,86.0,51.1,5.0,1,1,0,7.0,0.0,2018-03-21 11:17:37,2018-03-21 11:17:37,137.1,100.0,0.0,0.0,belo horizonte,MG
00ee68308b45bc5e2660cd833c3f81cc,135,172,20260.0,3180.66,4.298507462686567,134,89,11,9.292307692307693,11.0,2017-09-19 01:02:44,2018-07-30 19:01:11,23440.66,66.42,8.21,8.15,sao paulo,SP
