order_id,review_comment_message,message_ko,order_purchase_timestamp
203096f03d82e0dffbc41ebc2e2bcfb7,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.","우편 서비스가 파업 중이어서... 배송 지연에 대한 어떤 공지도 받지 못했지만, 어쨌든 책임 있는 회사에서 배송 지연에 대한 답변을 주었어야 합니다.",2017-09-18 14:31:30
fbf9ac61453ac646ce8ad9783d7d0af6,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,배송이 너무 오래 걸립니다. 이미 배송 기한이 지났는데도 아직 주문 물품을 받지 못했습니다.,2018-02-20 23:46:53
f70a0aff17df5a6cdd9a7196128bd354,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,제품에 자동차용 받침대가 빠져 있었습니다. 사진으로 확인했고 제품 설명에도 있었기 때문에 전화로 주문했는데 이렇게 왔습니다.,2017-08-10 11:58:33
c4d2f075fc3bf3a06d1e68e113c35cbd,"tenho outro sling de outra marca com tecido muito mais macio, maleável e agradável",다른 브랜드의 슬링백이 훨씬 더 부드럽고 유연하며 편안합니다.,2018-08-01 14:58:41
dcb4a1d21593a108db61f12a4b3d61db,"Produto chegou no prazo,porem, nao veio na medida correta.
Tentei entrar em contato para troca ou devolucao e nao obtive nenhuma resposta.","제품은 기한 내에 도착했지만, 주문한 사이즈와 다르게 왔습니다. 교환이나 반품을 요청했지만 답변을 받지 못했습니다.",2018-06-19 13:22:15
b3206cf64b7cd1480a6c6f9912b20666,Estou super satisfeita....super recomendo,매우 만족합니다... 강력 추천합니다.,2017-09-13 20:30:02
cfd355e6233b9854f7decc72472f9c3e,"Os orifícios da capa para conexão do cabo P2 (3,5 mm) e do microfone não correspondem ao celular.",휴대폰 연결용 3.5mm 잭과 마이크 연결 구멍이 휴대폰과 맞지 않습니다.,2017-03-24 15:50:46
7b2f3756c235e93b2ad6330c54805401,"pois era pra entregar previsão para dia 03/04/2018 já esta quase chegando a fatura e o produto não chegou ate hoje , nunca comprei um produto pela internet pra demorar desse tanto.",2018년 4월 3일 배송 예정이었는데 벌써 청구서가 나왔는데도 아직 물건이 도착하지 않았습니다. 온라인으로 물건을 구매한 적이 있지만 이렇게 오래 걸린 적은 없습니다.,2018-03-12 16:54:01
a890088df39d4c062a07081527034784,"Pelas imagens achei q fosse tela com moldura. Até pq na discrição está escrito q a espessura e de 2 cm. 
Só q na verdade é um mdf de 3 mm fiquei um pouco fustratado mas tudo bem. ","사진으로 봤을 때는 프레임이 있는 것 같았는데, 제품 설명에도 두께가 2cm라고 되어 있었습니다. 하지만 실제로는 3mm 두께의 MDF 판이어서 약간 실망했지만 괜찮습니다.",2018-02-21 18:47:50
d8e2d2a26010eb732a91d8b6952e2c9e,Boa tarde! Achei que demorou bastante a chegar em minha residência. Mas apesar da demora estou satisfeita com meu varal.,안녕하세요. 제 집에 도착하는 데 꽤 오래 걸린 것 같습니다. 하지만 배송이 지연되었음에도 불구하고 제 빨래 건조대에 만족하고 있습니다.,2018-01-11 12:20:07
