order_id,star,message_ko
634e8f4c0f6744a626f77f39770ac6aa,1,충전된 제품과 가격이 매우 좋습니다!
5164933efe0cd14f31424b9badf81f19,1,제품이 기대에 미치지 못함
f4471dae8c482f51aa1826cd9f5d4433,1,오래된 제품을 받았어요
93ec3e2c9a4beee38c28973d307093e1,1,가장 중요한 부분으로 꼽히는 FLANGE 의자가 사라졌습니다.
4f7e398a1ddb1c349465b42b6865c60b,1,"제품이 마음에 들지 않았습니다. 내가 상상했던 것과, 예상했던 것과 달랐습니다."
f30607daae66843552e00843c6de88ef,1,"소비자를 더욱 존중하는, 선물용이었습니다!!"
8ca57f2b32c00588cab243b2115441f5,1,제품 반품에 대해 알고 싶습니다. 반품을 확인하는 데 48시간이 소요되고 아직까지 아무 것도 없다고 했기 때문입니다.
d30680568af2e9f0aeba3420292df26d,1,그들은 아무것도 제공하지 않았고 만족을 주지도 않았습니다!나는 돌아올 것이다
1a7ee01992a69255a005e9db8a96d898,1,제품을 구매했는데 다른 제품이 왔습니다.
d0e9849de800fdb4cb3b5e6d42c6b367,1,솔기에 결함이 있는 제품입니다.
444ebbf5602b5acdad22e0b4a9951bda,1,올바른 제품을 받았지만 매우 약해서 조립 중에 깨지기 시작했습니다.
651bd7286b2e17e1e3ea7b644870e429,1,인형이 라니스터 키오스크에서 본 사양에 맞지 않았습니다.
ca621c614abfc6d64f4a093ade1249b9,1,테디베어를 샀을 때 테디베어 색깔도 물어보지 않고 핑크색을 클릭했더니 파란색이 와서 추천하지 않습니다. 그런데 지금은 여자를 임신했다는 이유로 그 돈을 버렸어요
ceb992824b749348734de15eaca939ac,1,약은 독창적이지 않습니다
544b98cbee1fc6152e5ede26e1ef2986,1,내 제품은 어디에 있나요?이미 지불되었습니다.
9bcfea969358b43046969a17bfa436b9,1,제품을 사용하기 시작했는데 결함이 생겼습니다.
fb6a01b94b2f20833eb7593ea1a54a8f,1,"긁혔고, 버튼이 부러지고, 와이어가 벗겨졌고, 최악의 부분은 초콜릿 녹이는 경우 온도가 20°C 이상이어야 하고 이 합금은 50°C 이상이어야 한다는 것입니다.녹지 않고 타요."
051fcda88d997d3ff86012da2a556342,1,합성피혁이에요!!
7cf158d0e4744ba4ce58e5a9be631f7e,1,"반품하고 싶습니다.
어떤 절차를 밟아주세요?"
3dbf60040199f502ec5dd67f86b804ab,1,아직 상품을 못받았는데 너무 만족스럽습니다!!!
5c4e9b69cfdcd45f69531467695237e4,1,제품이 켜지거나 아무것도 켜지지 않았습니다.로딩하는데 시간이 좀 걸렸지만 아무 일도 일어나지 않았습니다
b687f81e0e59c1153eaa197ad1c1d043,1,내 돈을 돌려받고 싶어
4c3e9e2bce3a3234a9255f390683e3af,1,"주문한 상품과 다른 상품입니다.게다가, 당신은 열악한 서비스를 제공합니다."
41c284ffd871324eadf06fc989583619,1,"3개 제품을 구매했는데, 구매한 제품과 일치하지 않는 제품이 2개 왔어요.이 판매자에 대한 나의 부정적인 의견으로 인해 그는 판매에서 약속한 것을 이행하지 않았습니다."
c66f263a77d0b978664e122a57598d88,1,"1달동안 회전핀을 기다려왔습니다.당신과 당신의 파트너에게 보냈는데.. 아무것도 없었어요 
곧 프로콘이 되겠지"
7f0cd5312c451eb0b746d9e0617e57f9,1,"네, 흥미로운 구매 시스템입니다만, 일부 부정적인 상황으로 인해 실수로 저에게 보내진 맥주 타워 구매에 대한 불만을 등록하고 싶습니다."
f05aaa145a323239764fc5948997db58,1,"Belkin 차량용 충전기를 구입했는데, 처음으로 차량에 연결했을 때 충전기와 차량 소켓이 타버렸습니다."
6b3c0956c89312e2c54f8d1366ecea9a,1,예상대로 왔어요
a47e9312f596497c7762dbfdf78eda29,1,제품을 구매한 지 10일이 넘었고 지금까지 아무 것도 없습니다. 이 판매자는 말할 것도 없고 이 SHOP TIME을 다시는 사용하지 않을 것입니다.
e9a85f45594b8912672374e10d99f1a7,1,나는 재료가 매우 열악하고 비싸다는 것을 알았습니다.
3925b740d70eb26c3aefd1cabe5c8143,1,최소 수량
a686a1abab230b267d666e2b728f659c,1,원단이 방수가 되지 않아 물에 젖어도
313e46c49954ab094294fc88b099b570,1,기대이상의...
882106360eb7749193bf51b626d4d835,1,'푸로두토스' 두 개를 샀는데 메인 하나를 보내지 않았어요!
d248ddd0378083cb6c2bc7b9881d37d4,1,제가 구매한 제품 2개 키트 중 1개 키트만 받으시게 됨을 담당자에게 알립니다. 제가 둘 다 지불했으니 다른 하나를 보내달라고 겸손히 부탁드립니다.
17eba629ec542978d1ea929d473d4f19,1,필터가 다 깨져서 받았어요
bb9a5a9d8a6ff80eabda95e3b78f0a45,1,Iso X를 구입하고 Nitro Hard를 받았습니다.
6ed7913722200b05e7d5df38f1ee777e,1,전문 직업 의식
fcf50b257e3e35c31244d4d78b760c44,1,ORIGINAL HIGH YIELD CF 360X HP 508X BLACK Toner를 구입했는데 LOW YIELD CF360A HP 508A BLACK 토너를 받았고 토너를 테스트하러 갔는데 결함이 있었습니다.
ce5f998d724ed1ac61c890e33b24a33f,1,내 제품은 어디에... 내 의견을 알고 싶으면 먼저 받아봐야겠죠?
cb146a1049b500293d63495c05722085,1,HP 93 컬러 카트리지만 받았습니다.하지만 저는 hp 92 카트리지와 함께 구입했습니다. 미완성으로 왔어요!어떻게 해야 하나요?
ab3049853be314c3dcc3721cea4438e1,1,백설공주가 올 집 모형을 샀는데 공주 프린트가 들어왔네요
270c25da086ad763f34a2cd66c6aae7a,1,필코 리모콘을 구매했습니다.그리고 집에서 필립스 리모콘을 받았습니다.
ef39e8a01edeec8664b6fa8ebc5f3b9f,1,"제 시간에 제품을 받았는데, 체중계에 무게가 너무 많이 변동했습니다."
100cd7893daf3992dc9d95b595c713c5,1,예상대로 받았습니다
d839ea07a528e914f89702508023da37,1,targaryen은 전자상거래 상점과 소비자 사이의 중개자입니다.완전히 무질서합니다.나는 Targaryen에게 0점을 부여합니다.
8f62b43c005fef494fe6d25e46006652,1,시계는 좋은데 팔찌가 썩었어요. 어느날 입었는데 썩어서 새로 사야했어요. 새로운 팔찌는 원통형으로 만들어져야 했습니다.
35df3b4dd9ccd07b51ef412f243e1483,1,"그들은 나에게 빨간 화분을 보냈고, 나는 검은색 화분을 샀다...."
0b461bff8323f6fec51ec6254a81d562,1,구매한 상품과 다른 상품이 왔네요
899a5ec4b50c53b46fc876182c9cecab,1,"와, 난 그냥 내 제품을 원했어요"
6f88df04acbbbb0f5c98ef28271d27ea,1,제품은 Funko가 아니며 유사하며 결함이 가득합니다.
65c89cbb9f1da66608c81d78485e3cdc,1,그건 내가 기대했던 게 아니었어
f9a4431b06162517b2bc2fbaf8f9645a,1,냄비를 못받았어요
105b31400017ca4a848d48ec5df78257,1,motog5 스플러스 플래티넘을 구매했는데 이미 사용했다는 특징이 있는 재포장된 골든 motog5를 받았습니다.제품에는 보호 커버 외에 유리 필름이 도포된 상태로 제공됩니다.포장 n
9b8aaa74d468897a211fb359950937e5,1,상품이 전혀 좋지 않아서 매우 불만족스러웠습니다.
bc9c2fb123725ad0d99fb76888543245,1,고객에게 더 많은 관심을 갖고 싶습니다.기계가 아닌 누군가와 대화하고 싶다
58e7140d9d368a70076dc999a7a7bf85,1,상품을 다 못받았어요?
69b00a66e2558dd57ba062f782995941,1,Playstation 2 장치를 받았는데 원래 컨트롤과 함께 제공되지 않고 병렬 장치와 함께 제공되었으며 장치에 결함이 있어 처음으로 켜지고 꺼졌다가 오랜 시간이 지나도 다시 켜지지 않습니다.
91415c7eb3a9313812484623efc7ee27,1,이 제품은 어떻게 됐나요?
2591f6277be80b0c25627c745ec900c4,1,다시는 이 가게가 없을 거예요
816fd1f12f703f9825eb7c4c307388b5,1,그들이 보낸 상품은 구매한 상품이 아니었습니다.
243204e250173084280239fb8ac74bef,1,"나는 Usebarba 샴푸, 오일, 밤 및 수염 빗 키트를 구입했습니다.그런데 빗이 없어졌어요!!!"
fe97f3949cbc37b9ab48ac5769514cbe,1,엄청 빨리 나오네요
593823b9588a494c8015438b207ee60a,1,완전 좌절
cad07bb1dea448e4277d6bb42be1c1af,1,못받았는데 너무 속상하네요.
00995d799817ecc3bd2abd8fbe59c430,1,한 제품을 주문했는데 다른 제품이 왔어요
b547355b98adcc9a318e3c1c386fc737,1,나는 이미 당신에게 이 경고를 했지만 지금까지는 아무 것도 없었습니다.
dec8f082d09a6365bc6ea5a9eb542827,1,제품을 받았지만 결함이 있습니다. (시계를 손목에 착용했는데 동시에 착용했습니다.) 불만족스럽습니다.
fa86f95c2bce5958b1d9236da9f96926,1,아직 없어요
97a982d424741dfe24bc1ca5d943ad70,1,대기 중.
99777bf515a44dca96a60ac384e333d9,1,커버는 Redmi Note 4X가 아닌 Redmi Note 4용입니다.적외선 센서는 다른 위치에 있습니다.터무니없는!!!!
adedc5c6c400a03abc3701e0bb8015d7,1,젤 필름은 다른 장치에서 나왔습니다.
dc32acbe8d41196887e5d7ac6c2972bd,1,나는 다른 구매자에게 타르가르옌을 추천하지 않습니다.
bd26f79807cb5e17e470195232bf67d7,1,와인 3병 샀는데 2병만 왔는데 이제 싸인한 듯 불평하네요
